Name,Online_Name,Description,Short_Code,Short_Code_2,Sap_Code,HSN_Code,Parent_Category,Category,Category_online_display,Price,Attributes,Goods_Services,"GST% (Allowed only 5,18,40)","Type (F=forwardTax,B=BackwardTax)","(Optional) Other Tax (TaxName+Type+value) (F-forward, B-Backward)",Unit,is_Self_Item_Recipe,minimum_stock_level,at_par_stock_level,Rank,Packing_Charges,Allow_Decimal_Qty,Addon_Group_Name,Addon_Group_Selection,Addon_Group_Min,Addon_Group_Max,Variation_group_name,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges
"Jeera Rice","Jeera Rice",,172,,,,,"Khushbu & Basmati",,159,veg,services,5,F,,,0,,,1,0,Yes
"Peas Pulao","Peas Pulao",,173,,,,,"Khushbu & Basmati",,169,veg,services,5,F,,,0,,,1,0,Yes
"Veg Pulao","Veg Pulao",,174,,,,,"Khushbu & Basmati",,169,veg,services,5,F,,,0,,,1,0,Yes
"Curd Rice","Curd Rice",,175,,,,,"Khushbu & Basmati",,169,veg,services,5,F,,,0,,,1,0,Yes
"Kashmiri Pulao","Kashmiri Pulao",,176,,,,,"Khushbu & Basmati",,189,veg,services,5,F,,,0,,,1,0,Yes
"Veg Biriyani","Veg Biriyani",,177,,,,,"Khushbu & Basmati",,299,veg,services,5,F,,,0,,,1,0,Yes
"Egg Biriyani","Egg Biriyani",,178,,,,,"Khushbu & Basmati",,299,egg,services,5,F,,,0,,,1,0,Yes
"Chicken Biriyani","Chicken Biriyani",,179,,,,,"Khushbu & Basmati",,359,non-veg,services,5,F,,,0,,,1,0,Yes
"Mutton Biriyani","Mutton Biriyani",,180,,,,,"Khushbu & Basmati",,449,non-veg,services,5,F,,,0,,,1,0,Yes
"Fish Tikka Biriyani","Fish Tikka Biriyani",,181,,,,,"Khushbu & Basmati",,399,non-veg,services,5,F,,,0,,,1,0,Yes
"Chicken Tikka Biriyani","Chicken Tikka Biriyani",,182,,,,,"Khushbu & Basmati",,399,non-veg,services,5,F,,,0,,,1,0,Yes
"Aaj Ki Sabzi","Aaj Ki Sabzi",,183,,,,,"Main Course Veg",,279,veg,services,5,F,,,0,,,1,0,Yes
"Mix Veg","Mix Veg",,184,,,,,"Main Course Veg",,279,veg,services,5,F,,,0,,,1,0,Yes
"Palak Corn","Palak Corn",,185,,,,,"Main Course Veg",,279,veg,services,5,F,,,0,,,1,0,Yes
"Pindi Chole","Pindi Chole",,186,,,,,"Main Course Veg",,279,veg,services,5,F,,,0,,,1,0,Yes
"Heeng Dhaniya Ke Aloo","Heeng Dhaniya Ke Aloo",,187,,,,,"Main Course Veg",,279,veg,services,5,F,,,0,,,1,0,Yes
"Jeera Aloo","Jeera Aloo",,188,,,,,"Main Course Veg",,269,veg,services,5,F,,,0,,,1,0,Yes
"Kashmiri Dum Aloo","Kashmiri Dum Aloo",,189,,,,,"Main Course Veg",,289,veg,services,5,F,,,0,,,1,0,Yes
"Stuff Tomato","Stuff Tomato",,190,,,,,"Main Course Veg",,259,veg,services,5,F,,,0,,,1,0,Yes
"Stuff Capsicum","Stuff Capsicum",,191,,,,,"Main Course Veg",,259,veg,services,5,F,,,0,,,1,0,Yes
"Mushroom Masala","Mushroom Masala",,192,,,,,"Main Course Veg",,319,veg,services,5,F,,,0,,,1,0,Yes
"Matar Mushroom Masala","Matar Mushroom Masala",,193,,,,,"Main Course Veg",,319,veg,services,5,F,,,0,,,1,0,Yes
"Malai Kofta","Malai Kofta",,194,,,,,"Main Course Veg",,329,veg,services,5,F,,,0,,,1,0,Yes
"Kaju Curry","Kaju Curry",,195,,,,,"Main Course Veg",,339,veg,services,5,F,,,0,,,1,0,Yes
"Kaju Masala","Kaju Masala",,196,,,,,"Main Course Veg",,339,veg,services,5,F,,,0,,,1,0,Yes
"Methi Matar Malai","Methi Matar Malai",,197,,,,,"Main Course Veg",,319,veg,services,5,F,,,0,,,1,0,Yes
"Soya Chap Masala","Soya Chap Masala",,198,,,,,"Main Course Veg",,329,veg,services,5,F,,,0,,,1,0,Yes
"Baby Corn Masala","Baby Corn Masala",,199,,,,,"Main Course Veg",,339,veg,services,5,F,,,0,,,1,0,Yes
"Mushroom Handi","Mushroom Handi",,200,,,,,"Main Course Veg",,329,veg,services,5,F,,,0,,,1,0,Yes
"Paneer Butter Masala","Paneer Butter Masala",,201,,,,,"Main Course Veg",,329,veg,services,5,F,,,0,,,1,0,Yes
"Kadhai Paneer","Kadhai Paneer",,202,,,,,"Main Course Veg",,329,veg,services,5,F,,,0,,,1,0,Yes
"Paneer Punjabi","Paneer Punjabi",,203,,,,,"Main Course Veg",,329,veg,services,5,F,,,0,,,1,0,Yes
"Paneer Kolhapuri","Paneer Kolhapuri",,204,,,,,"Main Course Veg",,329,veg,services,5,F,,,0,,,1,0,Yes
"Paneer Tikka Masala","Paneer Tikka Masala",,205,,,,,"Main Course Veg",,339,veg,services,5,F,,,0,,,1,0,Yes
"Shahi Paneer","Shahi Paneer",,206,,,,,"Main Course Veg",,339,veg,services,5,F,,,0,,,1,0,Yes
"Mushroom Paneer","Mushroom Paneer",,207,,,,,"Main Course Veg",,329,veg,services,5,F,,,0,,,1,0,Yes
"Paneer Do Pyaza","Paneer Do Pyaza",,208,,,,,"Main Course Veg",,329,veg,services,5,F,,,0,,,1,0,Yes
"Paneer Toofani","Paneer Toofani",,209,,,,,"Main Course Veg",,329,veg,services,5,F,,,0,,,1,0,Yes
"Palak Paneer","Palak Paneer",,210,,,,,"Main Course Veg",,329,veg,services,5,F,,,0,,,1,0,Yes
