Type,Name,Category,Price,FoodType,GST,Station,Description,Parent,ShortName,SKU,Default,SelectionType,Min,Max,Required,Group,Item
VARIANT,Full,,,629,,,,,,,TDN007-F,no,,,,,Afghani Chicken
ITEM,Chicken Sheek Kebab,Tandoor Non-Veg Starter,369,nonveg,5,Tandoor,,,Chk Sheek,TDN008,,,,,,,
ITEM,Chicken Neyurani,Tandoor Non-Veg Starter,379,nonveg,5,Tandoor,,,Neyurani,TDN009,,,,,,,
ITEM,Chicken Banajara,Tandoor Non-Veg Starter,379,nonveg,5,Tandoor,,,Banajara,TDN010,,,,,,,
ITEM,Achari Tagdi Kebab,Tandoor Non-Veg Starter,299,nonveg,5,Tandoor,2 Pieces,,Achari Tag,TDN011,,,,,,,
ITEM,Egg Neyurani Kebab,Tandoor Non-Veg Starter,299,egg,5,Tandoor,,,Egg Ney,TDN012,,,,,,,
ITEM,Garlic Fish Tikka,Tandoor Non-Veg Starter,379,nonveg,5,Tandoor,,,Fish Tikka,TDN013,,,,,,,
ITEM,Amritsari Fish Fry,Tandoor Non-Veg Starter,399,nonveg,5,Tandoor,,,Amritsari,TDN014,,,,,,,
ITEM,Non Veg Kebab Platter,Tandoor Non-Veg Starter,599,nonveg,5,Tandoor,,,NV Platter,TDN015,,,,,,,

ITEM,Aaj Ki Sabzi,Main Course Veg,279,veg,5,Kitchen,,,Aaj Ki Sab,MCV001,,,,,,,
ITEM,Mix Veg,Main Course Veg,279,veg,5,Kitchen,,,Mix Veg,MCV002,,,,,,,
ITEM,Palak Corn,Main Course Veg,279,veg,5,Kitchen,,,Palak Corn,MCV003,,,,,,,
ITEM,Pindi Chole,Main Course Veg,279,veg,5,Kitchen,,,Pindi Chole,MCV004,,,,,,,
ITEM,Heeng Dhaniya Ke Aloo,Main Course Veg,279,veg,5,Kitchen,,,Heeng Aloo,MCV005,,,,,,,
ITEM,Jeera Aloo,Main Course Veg,269,veg,5,Kitchen,,,Jeera Aloo,MCV006,,,,,,,
ITEM,Kashmiri Dum Aloo,Main Course Veg,289,veg,5,Kitchen,,,Dum Aloo,MCV007,,,,,,,
ITEM,Stuff Tomato,Main Course Veg,259,veg,5,Kitchen,,,Stuff Tom,MCV008,,,,,,,
ITEM,Stuff Capsicum,Main Course Veg,259,veg,5,Kitchen,,,Stuff Cap,MCV009,,,,,,,
ITEM,Mushroom Masala,Main Course Veg,319,veg,5,Kitchen,,,Mush Masala,MCV010,,,,,,,
ITEM,Matar Mushroom Masala,Main Course Veg,319,veg,5,Kitchen,,,Matar Mush,MCV011,,,,,,,
ITEM,Malai Kofta,Main Course Veg,329,veg,5,Kitchen,,,Malai Kofta,MCV012,,,,,,,
ITEM,Kaju Curry,Main Course Veg,339,veg,5,Kitchen,,,Kaju Curry,MCV013,,,,,,,
ITEM,Kaju Masala,Main Course Veg,339,veg,5,Kitchen,,,Kaju Masala,MCV014,,,,,,,
ITEM,Methi Matar Malai,Main Course Veg,319,veg,5,Kitchen,,,Methi Malai,MCV015,,,,,,,
ITEM,Soya Chap Masala,Main Course Veg,329,veg,5,Kitchen,,,Soya Chap,MCV016,,,,,,,
ITEM,Baby Corn Masala,Main Course Veg,339,veg,5,Kitchen,,,Baby Corn,MCV017,,,,,,,
ITEM,Mushroom Handi,Main Course Veg,329,veg,5,Kitchen,,,Mush Handi,MCV018,,,,,,,
ITEM,Paneer Butter Masala,Main Course Veg,329,veg,5,Kitchen,,,PBM,MCV019,,,,,,,
ITEM,Kadhai Paneer,Main Course Veg,329,veg,5,Kitchen,,,Kadhai Pan,MCV020,,,,,,,
ITEM,Paneer Punjabi,Main Course Veg,329,veg,5,Kitchen,,,Pan Punjabi,MCV021,,,,,,,
ITEM,Paneer Kolhapuri,Main Course Veg,329,veg,5,Kitchen,,,Pan Kolha,MCV022,,,,,,,
ITEM,Paneer Tikka Masala,Main Course Veg,339,veg,5,Kitchen,,,Pan TM,MCV023,,,,,,,
ITEM,Shahi Paneer,Main Course Veg,339,veg,5,Kitchen,,,Shahi Pan,MCV024,,,,,,,
ITEM,Mushroom Paneer,Main Course Veg,329,veg,5,Kitchen,,,Mush Pan,MCV025,,,,,,,
ITEM,Paneer Do Pyaza,Main Course Veg,329,veg,5,Kitchen,,,Pan DoPyz,MCV026,,,,,,,
ITEM,Paneer Toofani,Main Course Veg,329,veg,5,Kitchen,,,Pan Toofan,MCV027,,,,,,,
ITEM,Palak Paneer,Main Course Veg,329,veg,5,Kitchen,,,Palak Pan,MCV028,,,,,,,
ITEM,Paneer Pasanda,Main Course Veg,329,veg,5,Kitchen,,,Pan Pasand,MCV029,,,,,,,
ITEM,Paneer Handi,Main Course Veg,329,veg,5,Kitchen,,,Pan Handi,MCV030,,,,,,,

ITEM,Dal Fry,Dal,249,veg,5,Kitchen,,,Dal Fry,DAL001,,,,,,,
ITEM,Dal Tadka,Dal,249,veg,5,Kitchen,,,Dal Tadka,DAL002,,,,,,,
ITEM,Dal Pachrangi,Dal,279,veg,5,Kitchen,,,Dal Pach,DAL003,,,,,,,
ITEM,Dal Makhani,Dal,289,veg,5,Kitchen,,,Dal Makhni,DAL004,,,,,,,
ITEM,Dal Muglai,Dal,289,veg,5,Kitchen,,,Dal Muglai,DAL005,,,,,,,
ITEM,Punjabi Dal Tadka,Dal,289,veg,5,Kitchen,,,Punj Tadka,DAL006,,,,,,,

ITEM,Chicken Bagheli,Main Course Non-Veg,0,nonveg,5,Kitchen,,,Chk Bagheli,MCN001,,,,,,,
VARIANT,Single,,,299,,,,,,,MCN001-S,yes,,,,,Chicken Bagheli
VARIANT,Family,,,449,,,,,,,MCN001-F,no,,,,,Chicken Bagheli
ITEM,Chicken Handi,Main Course Non-Veg,0,nonveg,5,Kitchen,,,Chk Handi,MCN002,,,,,,,
VARIANT,Single,,,299,,,,,,,MCN002-S,yes,,,,,Chicken Handi
VARIANT,Family,,,449,,,,,,,MCN002-F,no,,,,,Chicken Handi
ITEM,Chicken Curry,Main Course Non-Veg,0,nonveg,5,Kitchen,,,Chk Curry,MCN003,,,,,,,
VARIANT,Single,,,299,,,,,,,MCN003-S,yes,,,,,Chicken Curry
VARIANT,Family,,,449,,,,,,,MCN003-F,no,,,,,Chicken Curry
ITEM,Chicken Do Pyaza,Main Course Non-Veg,0,nonveg,5,Kitchen,,,Chk DoPyz,MCN004,,,,,,,
VARIANT,Single,,,299,,,,,,,MCN004-S,yes,,,,,Chicken Do Pyaza
VARIANT,Family,,,449,,,,,,,MCN004-F,no,,,,,Chicken Do Pyaza
ITEM,Butter Chicken,Main Course Non-Veg,0,nonveg,5,Kitchen,,,Butter Chk,MCN005,,,,,,,
VARIANT,Single,,,329,,,,,,,MCN005-S,yes,,,,,Butter Chicken
VARIANT,Family,,,499,,,,,,,MCN005-F,no,,,,,Butter Chicken
ITEM,Kadhai Chicken,Main Course Non-Veg,0,nonveg,5,Kitchen,,,Kadhai Chk,MCN006,,,,,,,
VARIANT,Single,,,329,,,,,,,MCN006-S,yes,,,,,Kadhai Chicken
VARIANT,Family,,,499,,,,,,,MCN006-F,no,,,,,Kadhai Chicken
ITEM,Chicken Masala,Main Course Non-Veg,0,nonveg,5,Kitchen,,,Chk Masala,MCN007,,,,,,,
VARIANT,Single,,,329,,,,,,,MCN007-S,yes,,,,,Chicken Masala
VARIANT,Family,,,499,,,,,,,MCN007-F,no,,,,,Chicken Masala
ITEM,Chicken Tikka Masala,Main Course Non-Veg,0,nonveg,5,Kitchen,,,CTM,MCN008,,,,,,,
VARIANT,Single,,,329,,,,,,,MCN008-S,yes,,,,,Chicken Tikka Masala
VARIANT,Family,,,499,,,,,,,MCN008-F,no,,,,,Chicken Tikka Masala
ITEM,Chicken Methi Malai,Main Course Non-Veg,0,nonveg,5,Kitchen,,,Chk Methi,MCN009,,,,,,,
VARIANT,Single,,,329,,,,,,,MCN009-S,yes,,,,,Chicken Methi Malai
VARIANT,Family,,,499,,,,,,,MCN009-F,no,,,,,Chicken Methi Malai
