Name,Online_Name,Description,Short_Code,Short_Code_2,Sap_Code,HSN_Code,Parent_Category,Category,Category_online_display,Price,Attributes,Goods_Services,"GST% (Allowed only 5,18,40)","Type (F=forwardTax,B=BackwardTax)","(Optional) Other Tax (TaxName+Type+value) (F-forward, B-Backward)",Unit,is_Self_Item_Recipe,minimum_stock_level,at_par_stock_level,Rank,Packing_Charges,Allow_Decimal_Qty,Addon_Group_Name,Addon_Group_Selection,Addon_Group_Min,Addon_Group_Max,Variation_group_name,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges
"Chicken Tikka","Chicken Tikka",,108,,,,,"Tandoor Veg Starter",,379,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Paneer Garlic Tikka","Paneer Garlic Tikka",,109,,,,,"Tandoor Veg Starter",,329,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Malai Tikka","Chicken Malai Tikka",,110,,,,,"Tandoor Veg Starter",,379,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Paneer Parda","Paneer Parda",,111,,,,,"Tandoor Veg Starter",,349,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Hariyali Tikka","Chicken Hariyali Tikka",,112,,,,,"Tandoor Veg Starter",,379,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Paneer Malai Tikka","Paneer Malai Tikka",,113,,,,,"Tandoor Veg Starter",,329,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Pahadi Tikka","Chicken Pahadi Tikka",,114,,,,,"Tandoor Veg Starter",,379,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Mushroom Stuff Tikka","Mushroom Stuff Tikka",,115,,,,,"Tandoor Veg Starter",,329,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Achari Tikka","Chicken Achari Tikka",,116,,,,,"Tandoor Veg Starter",,379,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Mushroom Tikka","Mushroom Tikka",,117,,,,,"Tandoor Veg Starter",,319,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Afghani Chicken","Afghani Chicken",,118,,,,,"Tandoor Veg Starter",,389,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Hara Bhara Kebab","Hara Bhara Kebab",,119,,,,,"Tandoor Veg Starter",,279,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Sheek Kebab","Chicken Sheek Kebab",,120,,,,,"Tandoor Veg Starter",,369,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Corn Kebab","Corn Kebab",,121,,,,,"Tandoor Veg Starter",,279,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Neyurani","Chicken Neyurani",,122,,,,,"Tandoor Veg Starter",,379,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Cheez Chaska Kebab","Cheez Chaska Kebab",,123,,,,,"Tandoor Veg Starter",,279,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Banajara","Chicken Banajara",,124,,,,,"Tandoor Veg Starter",,379,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Veg 2in1","Veg 2in1",,125,,,,,"Tandoor Veg Starter",,279,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Achari Tagdi Kebab(2pices)","Achari Tagdi Kebab(2pices)",,126,,,,,"Tandoor Veg Starter",,299,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Veg Sheek Kebab","Veg Sheek Kebab",,127,,,,,"Tandoor Veg Starter",,269,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Egg Neyurani Kebab","Egg Neyurani Kebab",,128,,,,,"Tandoor Veg Starter",,299,egg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Aloo Nazakat Tikka","Aloo Nazakat Tikka",,129,,,,,"Tandoor Veg Starter",,319,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Garlic Fish Tikka","Garlic Fish Tikka",,130,,,,,"Tandoor Veg Starter",,379,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Aloo Cheez Corn Tikki","Aloo Cheez Corn Tikki",,131,,,,,"Tandoor Veg Starter",,319,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Amritsari Fish Fry","Amritsari Fish Fry",,132,,,,,"Tandoor Veg Starter",,399,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chana Tikki","Chana Tikki",,133,,,,,"Tandoor Veg Starter",,269,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Non Veg Kebab Palter","Non Veg Kebab Palter",,134,,,,,"Tandoor Veg Starter",,599,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Dahi Ke Shole","Dahi Ke Shole",,135,,,,,"Tandoor Veg Starter",,319,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Veg Kebeb Paltter","Veg Kebeb Paltter",,136,,,,,"Tandoor Veg Starter",,499,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Aaj Ki Sabzi","Aaj Ki Sabzi",,137,,,,,"Main Course Veg",,279,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Soya Chap Masala","Soya Chap Masala",,138,,,,,"Tandoor Veg Starter",,329,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Mix Veg","Mix Veg",,139,,,,,"Main Course Veg",,279,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Baby Corn Masala","Baby Corn Masala",,140,,,,,"Tandoor Veg Starter",,339,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Palak Corn","Palak Corn",,141,,,,,"Main Course Veg",,279,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Mushroom Handi","Mushroom Handi",,142,,,,,"Tandoor Veg Starter",,329,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Pindi Chole","Pindi Chole",,143,,,,,"Main Course Veg",,279,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Paneer Butter Masala","Paneer Butter Masala",,144,,,,,"Tandoor Veg Starter",,329,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Heeng Dhaniya Ke Aloo","Heeng Dhaniya Ke Aloo",,145,,,,,"Main Course Veg",,279,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Kadhai Paneer","Kadhai Paneer",,146,,,,,"Tandoor Veg Starter",,329,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Jeera Aloo","Jeera Aloo",,147,,,,,"Main Course Veg",,269,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
